date,workout_type,duration_min,calories_burned,distance_km,weight_kg,reps,sets,heart_rate_avg,heart_rate_max,notes
"2024-01-02","Running",35,320,5.2,,,,,162,178,"Morning run, felt good"
"2024-01-03","Strength",50,280,,,,4,3,145,165,"Chest and back day"
"2024-01-05","Running",40,365,6.1,,,,,168,182,"Increased pace"
"2024-01-07","Yoga",60,180,,,,,1,105,120,"Recovery session"
"2024-01-09","Strength",55,295,,,,4,4,148,170,"Legs day, personal best squat"
"2024-01-11","Running",38,348,5.8,,,,,165,180,"Hill training"
"2024-01-13","HIIT",30,420,,,,,1,172,195,"Intense circuit"
"2024-01-15","Strength",60,310,,,,4,4,150,172,"Shoulders and arms"
"2024-01-17","Running",45,412,7.0,,,,,170,185,"Long run PR"
"2024-01-19","Yoga",60,175,,,,,1,102,115,"Flexibility focus"
"2024-01-21","Strength",55,300,,,,4,5,152,175,"Full body"
"2024-01-23","Running",40,365,6.2,,,,,166,182,"Tempo run"
"2024-01-25","HIIT",35,480,,,,,1,175,198,"Tabata protocol"
"2024-01-27","Strength",60,320,,,,5,4,155,178,"Deadlift PR: 120kg"
"2024-01-29","Running",50,455,7.8,,,,,172,188,"Longest run"
"2024-02-01","Strength",55,305,,,,5,4,153,176,"Bench PR: 85kg"
"2024-02-03","Running",42,384,6.5,,,,,168,183,"Easy pace"
"2024-02-05","HIIT",32,450,,,,,1,174,196,"Jump rope intervals"
"2024-02-07","Yoga",60,178,,,,,1,104,118,"Restore and stretch"
"2024-02-09","Strength",60,330,,,,5,5,157,180,"Squat PR: 110kg"
"2024-02-11","Running",48,438,7.4,,,,,171,187,"Progression run"
"2024-02-13","Strength",55,315,,,,5,4,155,177,"Pull day"
"2024-02-15","HIIT",35,490,,,,,1,176,200,"Sprint intervals"
"2024-02-17","Running",55,502,8.2,,,,,173,190,"New distance record"
"2024-02-19","Strength",60,335,,,,5,5,158,182,"Push day"
"2024-02-21","Yoga",60,182,,,,,1,106,120,"Mobility work"
"2024-02-23","Running",44,402,6.8,,,,,169,184,"Trail run"
"2024-02-25","HIIT",38,510,,,,,1,178,202,"Circuit training"
"2024-02-27","Strength",65,350,,,,5,5,160,185,"Deadlift 125kg"
"2024-02-29","Running",60,548,9.0,,,,,174,192,"Half-marathon prep"
